0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
l1.weight,5.992249,,,,,,,,,,,,,,,,,,,
l1.weight,-3.264888,,,,,,,,,,,,,,,,,,,
l1.weight,1.5745927,,,,,,,,,,,,,,,,,,,
l1.weight,-0.6932552,,,,,,,,,,,,,,,,,,,
l1.weight,-6.036273,,,,,,,,,,,,,,,,,,,
l1.weight,-2.891691,,,,,,,,,,,,,,,,,,,
l1.weight,0.77135766,,,,,,,,,,,,,,,,,,,
l1.weight,8.883373,,,,,,,,,,,,,,,,,,,
l1.weight,-5.087174,,,,,,,,,,,,,,,,,,,
l1.weight,-6.759003,,,,,,,,,,,,,,,,,,,
l1.weight,2.8886054,,,,,,,,,,,,,,,,,,,
l1.weight,0.48939627,,,,,,,,,,,,,,,,,,,
l1.weight,1.2575725,,,,,,,,,,,,,,,,,,,
l1.weight,-0.34507155,,,,,,,,,,,,,,,,,,,
l1.weight,7.3058147,,,,,,,,,,,,,,,,,,,
l1.weight,-6.3880577,,,,,,,,,,,,,,,,,,,
l1.weight,-5.584162,,,,,,,,,,,,,,,,,,,
l1.weight,5.419606,,,,,,,,,,,,,,,,,,,
l1.weight,2.8044796,,,,,,,,,,,,,,,,,,,
l1.weight,-9.89988,,,,,,,,,,,,,,,,,,,
rlif1.recurrent.weight,-3.8010433,2.6515908241271973,-13.45931339263916,7.519445419311523,1.9662328958511353,-7.9727911949157715,-4.060638904571533,-1.6107487678527832,-2.254073143005371,-1.0596145391464233,-2.716020107269287,-4.169728755950928,3.779874801635742,-0.5387381911277771,-1.176607370376587,0.5125429630279541,13.839579582214355,-3.697129487991333,-2.537839412689209,-6.433407783508301
rlif1.recurrent.weight,3.646586,0.1874539703130722,10.974468231201172,3.971649408340454,3.9670422077178955,-9.745071411132812,2.0447752475738525,-7.959599018096924,4.30984354019165,0.07699836790561676,-1.0621894598007202,-0.5567843914031982,1.983480453491211,-0.7018635869026184,-1.493422508239746,-7.066869258880615,3.9082820415496826,-8.857694625854492,-3.0434718132019043,3.0475656986236572
rlif1.recurrent.weight,-1.435987,-2.366729259490967,7.115847110748291,3.372986078262329,9.383955955505371,0.09785443544387817,-7.8924641609191895,7.12236213684082,-0.3737458288669586,-4.433534622192383,-3.4129629135131836,-1.5655978918075562,7.749070167541504,3.2492449283599854,0.1249578446149826,-9.000554084777832,4.094796180725098,-18.629066467285156,-6.770395278930664,-4.217092514038086
rlif1.recurrent.weight,-4.807801,-3.558711290359497,-0.8686841726303101,0.06042332202196121,-10.471376419067383,-2.7648661136627197,-5.910542964935303,3.1525304317474365,-3.2218518257141113,-0.6303245425224304,2.2243711948394775,3.043037176132202,7.1023335456848145,-11.252204895019531,-7.583065032958984,1.253594160079956,-6.5246806144714355,9.065549850463867,-7.872450828552246,5.705535888671875
rlif1.recurrent.weight,4.0736284,3.521498918533325,-13.59494686126709,-1.5472002029418945,8.207056999206543,7.906771183013916,4.402274131774902,0.6758008599281311,1.762685775756836,1.4702500104904175,-1.0394926071166992,-6.277541160583496,1.7652086019515991,-3.1071112155914307,2.652273654937744,1.0518964529037476,-4.922430515289307,-5.432183742523193,-5.802565574645996,-2.9784798622131348
rlif1.recurrent.weight,12.089355,-3.693248748779297,5.7322235107421875,-3.153686046600342,-0.27413704991340637,3.9366891384124756,5.574211120605469,-2.0825443267822266,4.856592178344727,3.491563558578491,2.078977346420288,1.0047399997711182,4.800802707672119,2.232963800430298,4.669838905334473,-0.5449606776237488,-3.2809202671051025,-15.336729049682617,6.3170576095581055,6.051436424255371
rlif1.recurrent.weight,4.9906316,-5.1133198738098145,4.4758477210998535,-1.5290265083312988,-10.178165435791016,8.953673362731934,0.0036284783855080605,1.3984047174453735,-2.1669135093688965,0.1196967214345932,-0.8252378106117249,-5.208805084228516,-4.265559196472168,-2.613337516784668,-5.908053398132324,3.91035795211792,-2.8664016723632812,-31.27953338623047,6.352242469787598,-2.0232431888580322
rlif1.recurrent.weight,1.4692189,-14.890466690063477,-2.2603912353515625,2.4170467853546143,0.16650353372097015,2.6790363788604736,10.562621116638184,6.932290077209473,-4.195680141448975,-3.1198978424072266,-7.408636569976807,4.593555927276611,0.337232381105423,-6.546370506286621,0.8029295802116394,-4.430895805358887,-4.846845626831055,-19.707752227783203,2.965404510498047,0.8604059219360352
rlif1.recurrent.weight,-2.6191123,2.4047083854675293,3.153156280517578,-2.4799742698669434,1.7436022758483887,6.092189788818359,-2.204535722732544,-7.513821125030518,-1.3334881067276,1.4863942861557007,-3.339470624923706,-3.835430145263672,-1.915035367012024,-2.2694714069366455,-1.4426989555358887,-0.9079696536064148,12.017839431762695,-0.2494763433933258,-3.243640661239624,0.927531361579895
rlif1.recurrent.weight,1.4126008,-11.682699203491211,5.643153667449951,-1.0767176151275635,2.0942671298980713,9.695938110351562,2.727304697036743,-0.3802487850189209,-5.216148376464844,-7.792734622955322,-4.528035640716553,4.416653156280518,10.22874927520752,-1.011330008506775,-0.20430676639080048,4.248221397399902,2.5963845252990723,-0.2178022563457489,-1.635648488998413,1.3027623891830444
